soc_level,region,year,yield_tha,soc_total,n_mineralized
SOC_25pct,north_america,14,5.4833,50.90,82.07
SOC_25pct,north_america,15,5.4826,50.89,82.05
SOC_25pct,north_america,16,5.4819,50.88,82.02
SOC_25pct,north_america,17,5.4813,50.87,82.00
SOC_25pct,north_america,18,5.4806,50.86,81.98
SOC_25pct,north_america,19,5.4800,50.85,81.96
SOC_25pct,north_america,20,5.4794,50.84,81.94
SOC_25pct,north_america,21,5.4788,50.83,81.92
SOC_25pct,north_america,22,5.4782,50.82,81.90
SOC_25pct,north_america,23,5.4777,50.81,81.88
SOC_25pct,north_america,24,5.4771,50.80,81.87
SOC_25pct,north_america,25,5.4766,50.79,81.85
SOC_25pct,north_america,26,5.4761,50.78,81.83
SOC_25pct,north_america,27,5.4756,50.78,81.82
SOC_25pct,north_america,28,5.4751,50.77,81.80
SOC_25pct,north_america,29,5.4746,50.76,81.79
SOC_25pct,north_america,30,5.4741,50.75,81.77
SOC_25pct,europe,0,5.1147,43.04,58.58
SOC_25pct,europe,1,4.9881,43.01,58.58
SOC_25pct,europe,2,4.9400,42.97,58.27
SOC_25pct,europe,3,4.9353,42.94,57.93
SOC_25pct,europe,4,4.9313,42.91,57.68
SOC_25pct,europe,5,4.9282,42.88,57.50
SOC_25pct,europe,6,4.9257,42.86,57.36
SOC_25pct,europe,7,4.9236,42.84,57.26
SOC_25pct,europe,8,4.9218,42.81,57.17
SOC_25pct,europe,9,4.9202,42.79,57.11
SOC_25pct,europe,10,4.9188,42.78,57.05
SOC_25pct,europe,11,4.9175,42.76,57.00
SOC_25pct,europe,12,4.9164,42.74,56.96
SOC_25pct,europe,13,4.9153,42.72,56.92
SOC_25pct,europe,14,4.9142,42.70,56.89
SOC_25pct,europe,15,4.9132,42.69,56.86
SOC_25pct,europe,16,4.9123,42.67,56.83
SOC_25pct,europe,17,4.9114,42.66,56.80
